# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -1.140000000000E+00      1.207482861183E-01      5.910706032547E-02      4.501226210870E-02      3.940118303451E-02      3.632196484016E-02      3.428857858894E-02      3.278619635055E-02      3.159264291841E-02      3.059661920629E-02      2.973618474003E-02      2.519396326270E-01
     -1.130000000000E+00      1.188948564927E-01      5.791552428156E-02      4.409084924706E-02      3.860693408177E-02      3.560329231084E-02      3.362285296070E-02      3.216155109732E-02      3.100194601457E-02      3.003512765256E-02      2.920049433150E-02      2.498389871776E-01
     -1.120000000000E+00      1.170541037391E-01      5.673943982193E-02      4.318197282754E-02      3.782300806509E-02      3.489338525428E-02      3.296470385601E-02      3.154351197910E-02      3.041703031757E-02      2.947869921501E-02      2.866923319303E-02      2.477372274029E-01
     -1.110000000000E+00      1.152260322504E-01      5.557868894968E-02      4.228551732795E-02      3.704932284458E-02      3.419219250248E-02      3.231410524084E-02      3.093207325842E-02      2.983790655756E-02      2.892735794742E-02      2.814243603965E-02      2.456343140731E-01
     -1.100000000000E+00      1.134106476211E-01      5.443315470383E-02      4.140136867005E-02      3.628579727499E-02      3.349966329348E-02      3.167103102786E-02      3.032722884366E-02      2.926458494679E-02      2.838112733418E-02      2.762013705599E-02      2.435302092751E-01
     -1.090000000000E+00      1.116079566020E-01      5.330272113822E-02      4.052941418761E-02      3.553235117140E-02      3.281574724143E-02      3.103545504865E-02      2.972897225846E-02      2.869707514211E-02      2.784003024287E-02      2.710236983728E-02      2.414248763515E-01
     -1.080000000000E+00      1.098179670591E-01      5.218727330234E-02      3.966954259644E-02      3.478890527717E-02      3.214039430943E-02      3.040735102907E-02      2.913729661493E-02      2.813538621158E-02      2.730408888142E-02      2.658916733505E-02      2.393182798429E-01
     -1.070000000000E+00      1.080406879359E-01      5.108669722371E-02      3.882164396602E-02      3.405538123425E-02      3.147355478499E-02      2.978669256755E-02      2.855219458997E-02      2.757952660488E-02      2.677332475939E-02      2.608056180753E-02      2.372103854327E-01
     -1.060000000000E+00      1.062761292194E-01      5.000087989182E-02      3.798560969278E-02      3.333170155547E-02      3.081517925787E-02      2.917345311608E-02      2.797365840488E-02      2.702950412726E-02      2.624775865337E-02      2.557658477441E-02      2.351011598953E-01
     -1.050000000000E+00      1.045243019091E-01      4.892970924345E-02      3.716133247471E-02      3.261778959880E-02      3.016521860015E-02      2.856760596380E-02      2.740167980778E-02      2.648532591685E-02      2.572741057606E-02      2.507726697579E-02      2.329905710462E-01
     -1.040000000000E+00      1.027852179890E-01      4.787307414912E-02      3.634870628736E-02      3.191356954326E-02      2.952362394837E-02      2.796912422277E-02      2.683625005869E-02      2.594699842498E-02      2.521229974893E-02      2.458263833504E-02      2.308785876954E-01
     -1.030000000000E+00      1.010588904020E-01      4.683086440069E-02      3.554762636097E-02      3.121896636655E-02      2.889034668744E-02      2.737798081593E-02      2.627735991704E-02      2.541452739948E-02      2.470244457819E-02      2.409272792541E-02      2.287651796020E-01
     -1.020000000000E+00      9.934533302787E-02      4.580297069995E-02      3.475798915871E-02      3.053390582412E-02      2.826533843643E-02      2.679414846705E-02      2.572499963159E-02      2.488791787059E-02      2.419786263393E-02      2.360756394020E-02      2.266503174325E-01
     -1.010000000000E+00      9.764456066299E-02      4.478928464801E-02      3.397969235594E-02      2.985831442960E-02      2.764855103577E-02      2.621759969239E-02      2.517915893230E-02      2.436717413944E-02      2.369857063210E-02      2.312717366623E-02      2.245339727193E-01
     -1.000000000000E+00      9.595658900246E-02      4.378969873556E-02      3.321263482041E-02      2.919211943660E-02      2.703993653607E-02      2.564830679409E-02      2.463982702427E-02      2.385229976881E-02      2.320458441936E-02      2.265158346056E-02      2.224161178231E-01
